num_incident,accident_type
2010S000314,collision
2010S000315,frontal
2010S000316,collision
2010S000317,collision
2010S000318,crash
2010S000319,collision
2010S000320,frontal
2010S000321,collision
2010S000322,collision
2010S000323,collision
2010S000324,frontal
2010S000325,collision
2010S000326,fall--motorcycle
2010S000327,collision
2010S000328,collision
2010S000329,collision
2010S000330,collision
2010S000331,frontal
2010S000332,run_over
2010S000333,collision
2010S000334,run_over
2010S000335,collision
2010S000336,run_over
2010S000337,run_over
2010S000338,frontal
2010S000339,frontal
2010S000340,collision
2010S000341,frontal
2010S000342,frontal
2010S000343,crash
2010S000344,collision
2010S000345,crash
2010S000346,crash
2010S000347,frontal
2010S000348,crash
2010S000349,crash
2010S000350,frontal
2010S000351,crash
2010S000352,crash
2010S000353,collision
2010S000354,crash
2010S000355,collision
2010S000356,frontal
2010S000357,collision
2010S000358,frontal
2010S000359,frontal
2010S000360,frontal
2010S000361,fall--motorcycle
2010S000362,frontal
2010S000363,run_over
2010S000364,frontal
2010S000365,collision
2010S000366,frontal
2010S000367,fall--motorcycle
2010S000368,collision
2010S000369,fall--motorcycle
2010S000370,collision
2010S000371,collision
2010S000372,misc_type
2010S000373,collision
2010S000374,collision
2010S000375,crash
2010S000376,crash
2010S000377,crash
2010S000378,crash
2010S000379,crash
2010S000380,frontal
2010S000381,frontal
2010S000382,collision
2010S000383,frontal
2010S000384,crash
2010S000385,collision
2010S000386,frontal
2010S000387,collision
2010S000388,misc_type
2010S000389,frontal
2010S000390,collision
2010S000391,collision
2010S000392,run_over
2010S000393,fall_inside_vehicle
2010S000394,collision
2010S000395,fall--motorcycle
2010S000396,collision
2010S000397,fall--motorcycle
2010S000398,fall--motorcycle
2010S000399,frontal
2010S000400,collision
2010S000401,fall--motorcycle
2010S000402,fall--motorcycle
2010S000403,fall--motorcycle
2010S000404,run_over
2010S000405,collision
2010S000406,collision
2010S000407,collision
2010S000408,frontal
2010S000409,fall--motorcycle
2010S000410,frontal
2010S000411,run_over
2010S000412,fall--motorcycle
2010S000413,run_over
2010S000414,collision
2010S000415,collision
2010S000416,collision
2010S000417,collision
2010S000418,collision
2010S000419,run_over
2010S000420,fall--motorcycle
2010S000421,frontal
2010S000422,crash
2010S000423,fall--motorcycle
2010S000424,run_over
2010S000425,collision
2010S000426,run_over
2010S000427,collision
2010S000428,collision
2010S000429,crash
2010S000430,frontal
2010S000431,fall--motorcycle
2010S000432,run_over
2010S000433,collision
2010S000434,collision
2010S000435,run_over
2010S000436,frontal
2010S000437,frontal
2010S000438,collision
2010S000439,frontal
2010S000440,misc_type
2010S000441,collision
2010S000442,crash
2010S000443,run_over
2010S000444,collision
2010S000445,frontal
2010S000446,frontal
2010S000447,collision
2010S000448,crash
2010S000449,collision
2010S000450,collision
2010S000451,collision
2010S000452,collision
2010S000453,collision
2010S000454,collision
2010S000455,run_over
2010S000456,collision
2010S000457,crash
2010S000458,collision
2010S000459,fall--motorcycle
2010S000460,run_over
2010S000461,collision
2010S000462,collision
2010S000463,collision
2010S000464,fall--motorcycle
2010S000465,frontal
2010S000466,collision
2010S000467,fall--motorcycle
2010S000468,frontal
2010S000469,frontal
2010S000470,frontal
2010S000471,collision
2010S000472,crash
2010S000473,frontal
2010S000474,collision
2010S000475,frontal
2010S000476,frontal
2010S000477,frontal
2010S000478,run_over
2010S000479,frontal
2010S000480,collision
2010S000481,fall--motorcycle
2010S000482,run_over
2010S000483,collision
2010S000484,collision
2010S000485,frontal
2010S000486,crash
2010S000487,collision
2010S000488,run_over
2010S000489,collision
2010S000490,collision
2010S000491,collision
2010S000492,collision
2010S000493,collision
2010S000494,run_over
2010S000495,run_over
2010S000496,collision
2010S000497,collision
2010S000498,collision
2010S000499,run_over
2010S000500,collision
2010S000501,collision
2010S000502,crash
2010S000503,fall--motorcycle
2010S000504,misc_type
2010S000505,frontal
2010S000506,collision
2010S000507,crash
2010S000508,crash
2010S000509,frontal
2010S000510,collision
2010S000511,collision
2010S000512,frontal
2010S000513,frontal
2010S000514,collision
2010S000515,run_over
2010S000516,collision
2010S000517,fall_inside_vehicle
2010S000518,run_over
2010S000519,collision
2010S000520,run_over
2010S000521,collision
2010S000522,collision
2010S000523,run_over
2010S000524,run_over
2010S000525,run_over
2010S000526,collision
2010S000527,fall--motorcycle
2010S000528,collision
2010S000529,fall_inside_vehicle
2010S000530,collision
2010S000531,fall--motorcycle
2010S000532,collision
2010S000533,run_over
2010S000534,collision
2010S000535,collision
2010S000536,run_over
2010S000537,fall_inside_vehicle
2010S000538,frontal
2010S000539,crash
2010S000540,run_over
2010S000541,fall--motorcycle
2010S000542,crash
2010S000543,run_over
2010S000544,crash
2010S000545,collision
2010S000546,collision
2010S000547,collision
2010S000548,crash
2010S000549,crash
2010S000550,frontal
2010S000551,frontal
2010S000552,frontal
2010S000553,misc_type
2010S000554,run_over
2010S000555,crash
2010S000556,frontal
2010S000557,crash
2010S000558,collision
2010S000559,collision
2010S000560,collision
2010S000561,frontal
2010S000562,crash
2010S000563,run_over
2010S000564,collision
2010S000565,run_over
2010S000566,frontal
2010S000567,run_over
2010S000568,crash
2010S000569,run_over
2010S000570,collision
2010S000571,fall--motorcycle
2010S000572,fall--motorcycle
2010S000573,collision
2010S000574,run_over
2010S000575,collision
2010S000576,collision
2010S000577,crash
2010S000578,frontal
2010S000579,crash
2010S000580,frontal
2010S000581,run_over
2010S000582,frontal
2010S000583,run_over
2010S000584,collision
2010S000585,frontal
2010S000586,crash
2010S000587,frontal
2010S000588,collision
2010S000589,frontal
2010S000590,frontal
2010S000591,run_over
2010S000592,collision
2010S000593,crash
2010S000594,collision
2010S000595,frontal
2010S000596,crash
2010S000597,collision
2010S000598,crash
2010S000599,collision
2010S000600,collision
2010S000601,collision
2010S000602,misc_type
2010S000603,run_over
2010S000604,collision
2010S000605,collision
2010S000606,fall--motorcycle
2010S000607,run_over
2010S000608,crash
2010S000609,fall--motorcycle
2010S000610,collision
2010S000611,collision
2010S000612,collision
2010S000613,frontal
2010S000614,run_over
2010S000615,collision
2010S000616,collision
2010S000617,run_over
2010S000618,run_over
2010S000619,collision
2010S000620,collision
2010S000621,collision
2010S000622,collision
2010S000623,misc_type
2010S000624,collision
2010S000625,crash
2010S000626,frontal
2010S000627,collision
2010S000628,collision
2010S000629,crash
2010S000630,collision
2010S000631,frontal
2010S000632,collision
2010S000633,frontal
2010S000634,misc_type
2010S000635,frontal
2010S000636,run_over
2010S000637,collision
2010S000638,collision
2010S000639,crash
2010S000640,collision
2010S000641,collision
